date,location,trade,status
2025/05/07,MAIN ELECTRICAL ROOM 123,Overhead Duct Insulation,not started
2025/05/07,MAIN ELECTRICAL ROOM 123,Overhead Duct Rough In,not started
2025/05/07,MAIN ELECTRICAL ROOM 123,Overhead Plumbing,not started
2025/05/07,MAIN ELECTRICAL ROOM 123,Wall Drywall,complete
2025/05/07,MAIN ELECTRICAL ROOM 123,Wall Drywall Finish,complete
2025/05/07,MAIN ELECTRICAL ROOM 123,Wall Prime Paint,in progress
2025/05/07,MAIN JANITORIAL111,In Wall Insulation,complete
2025/05/07,MAIN JANITORIAL111,Overhead Duct Insulation,in progress
2025/05/07,MAIN JANITORIAL111,Overhead Duct Rough In,in progress
2025/05/07,MAIN JANITORIAL111,Overhead Plumbing,in progress
2025/05/07,MAIN JANITORIAL111,Wall Drywall,complete
2025/05/07,MAIN JANITORIAL111,Wall Drywall Finish,complete
2025/05/07,MAIN JANITORIAL111,Wall Prime Paint,in progress
2025/05/07,MARINE SERGEANT 142,In Wall Insulation,complete
2025/05/07,MARINE SERGEANT 142,Overhead Duct Insulation,in progress
2025/05/07,MARINE SERGEANT 142,Overhead Duct Rough In,in progress
2025/05/07,MARINE SERGEANT 142,Overhead Plumbing,in progress
2025/05/07,MARINE SERGEANT 142,Wall Drywall,complete
2025/05/07,MARINE SERGEANT 142,Wall Drywall Finish,complete
2025/05/07,MARINE SERGEANT 142,Wall Prime Paint,complete
2025/05/07,MECHANICAL 192,In Wall Insulation,complete
2025/05/07,MECHANICAL 192,Overhead Duct Insulation,not started
2025/05/07,MECHANICAL 192,Overhead Duct Rough In,in progress
2025/05/07,MECHANICAL 192,Overhead Plumbing,in progress
2025/05/07,MECHANICAL 192,Wall Drywall,complete
2025/05/07,MECHANICAL 192,Wall Drywall Finish,complete
2025/05/07,MECHANICAL 192,Wall Prime Paint,complete
2025/05/07,MECHANICAL ROOM 122,In Wall Insulation,complete
2025/05/07,MECHANICAL ROOM 122,Overhead Duct Insulation,not started
2025/05/07,MECHANICAL ROOM 122,Overhead Duct Rough In,in progress
2025/05/07,MECHANICAL ROOM 122,Overhead Plumbing,in progress
2025/05/07,MECHANICAL ROOM 122,Wall Drywall,complete
2025/05/07,MECHANICAL ROOM 122,Wall Drywall Finish,complete
2025/05/07,MECHANICAL ROOM 122,Wall Prime Paint,complete
2025/05/07,MENS RESTROOM 112,In Wall Insulation,in progress
2025/05/07,MENS RESTROOM 112,Overhead Duct Insulation,in progress
2025/05/07,MENS RESTROOM 112,Overhead Duct Rough In,in progress
2025/05/07,MENS RESTROOM 112,Overhead Plumbing,in progress
2025/05/07,MENS RESTROOM 112,Wall Drywall,not started
2025/05/07,MENS RESTROOM 112,Wall Drywall Finish,not started
2025/05/07,MENS RESTROOM 112,Wall Prime Paint,not started
2025/05/07,MIS EQUIPMENT STORAGE 138,In Wall Insulation,complete
2025/05/07,MIS EQUIPMENT STORAGE 138,Overhead Duct Insulation,in progress
2025/05/07,MIS EQUIPMENT STORAGE 138,Overhead Duct Rough In,in progress
2025/05/07,MIS EQUIPMENT STORAGE 138,Overhead Plumbing,in progress
2025/05/07,MIS EQUIPMENT STORAGE 138,Wall Drywall,complete
2025/05/07,MIS EQUIPMENT STORAGE 138,Wall Drywall Finish,complete
2025/05/07,MIS EQUIPMENT STORAGE 138,Wall Prime Paint,complete
2025/05/07,MIS SHREDDING 117,In Wall Insulation,complete
2025/05/07,MIS SHREDDING 117,Overhead Duct Insulation,not started
2025/05/07,MIS SHREDDING 117,Overhead Duct Rough In,in progress
2025/05/07,MIS SHREDDING 117,Overhead Plumbing,in progress
2025/05/07,MIS SHREDDING 117,Wall Drywall,complete
2025/05/07,MIS SHREDDING 117,Wall Drywall Finish,complete
2025/05/07,MIS SHREDDING 117,Wall Prime Paint,complete
2025/05/07,OFFICE 128,In Wall Insulation,complete
2025/05/07,OFFICE 128,Overhead Duct Insulation,in progress
2025/05/07,OFFICE 128,Overhead Duct Rough In,in progress
2025/05/07,OFFICE 128,Overhead Plumbing,not started
2025/05/07,OFFICE 128,Wall Drywall,complete
2025/05/07,OFFICE 128,Wall Drywall Finish,complete
2025/05/07,OFFICE 128,Wall Prime Paint,complete
2025/05/07,OPERATIONS SUPPORT DIVISION 139,In Wall Insulation,complete
2025/05/07,OPERATIONS SUPPORT DIVISION 139,Overhead Duct Insulation,in progress
2025/05/07,OPERATIONS SUPPORT DIVISION 139,Overhead Duct Rough In,in progress
2025/05/07,OPERATIONS SUPPORT DIVISION 139,Overhead Plumbing,in progress
2025/05/07,OPERATIONS SUPPORT DIVISION 139,Wall Drywall,complete
2025/05/07,OPERATIONS SUPPORT DIVISION 139,Wall Drywall Finish,complete
2025/05/07,OPERATIONS SUPPORT DIVISION 139,Wall Prime Paint,in progress
2025/05/07,PARTS STORAGE 189,In Wall Insulation,in progress
2025/05/07,PARTS STORAGE 189,Overhead Duct Insulation,not started
2025/05/07,PARTS STORAGE 189,Overhead Duct Rough In,in progress
2025/05/07,PARTS STORAGE 189,Overhead Plumbing,not started
2025/05/07,PARTS STORAGE 189,Wall Drywall,in progress
2025/05/07,PARTS STORAGE 189,Wall Drywall Finish,in progress
2025/05/07,PARTS STORAGE 189,Wall Prime Paint,not started
2025/05/07,PUBLIC RESTROOM 106,In Wall Insulation,no data
2025/05/07,PUBLIC RESTROOM 106,Overhead Duct Insulation,no data
2025/05/07,PUBLIC RESTROOM 106,Overhead Duct Rough In,no data
2025/05/07,PUBLIC RESTROOM 106,Overhead Plumbing,no data
2025/05/07,PUBLIC RESTROOM 106,Wall Drywall,no data
2025/05/07,PUBLIC RESTROOM 106,Wall Drywall Finish,no data
2025/05/07,PUBLIC RESTROOM 106,Wall Prime Paint,no data
2025/05/07,Polygraph 152,In Wall Insulation,no data
2025/05/07,Polygraph 152,Overhead Duct Insulation,no data
2025/05/07,Polygraph 152,Overhead Duct Rough In,no data
2025/05/07,Polygraph 152,Overhead Plumbing,no data
2025/05/07,Polygraph 152,Wall Drywall,no data
2025/05/07,Polygraph 152,Wall Drywall Finish,no data
2025/05/07,Polygraph 152,Wall Prime Paint,no data
2025/05/07,RECEPTION 101,In Wall Insulation,no data
2025/05/07,RECEPTION 101,Overhead Duct Insulation,no data
2025/05/07,RECEPTION 101,Overhead Duct Rough In,no data
2025/05/07,RECEPTION 101,Overhead Plumbing,no data
2025/05/07,RECEPTION 101,Wall Drywall,no data
2025/05/07,RECEPTION 101,Wall Drywall Finish,no data
2025/05/07,RECEPTION 101,Wall Prime Paint,no data
2025/05/07,RECEPTION 147,In Wall Insulation,in progress
2025/05/07,RECEPTION 147,Overhead Duct Insulation,in progress
2025/05/07,RECEPTION 147,Overhead Duct Rough In,in progress
2025/05/07,RECEPTION 147,Overhead Plumbing,in progress
2025/05/07,RECEPTION 147,Wall Drywall,in progress
2025/05/07,RECEPTION 147,Wall Drywall Finish,not started
2025/05/07,RECEPTION 147,Wall Prime Paint,not started
2025/05/07,RECEPTION 179,In Wall Insulation,in progress
2025/05/07,RECEPTION 179,Overhead Duct Insulation,not started
2025/05/07,RECEPTION 179,Overhead Duct Rough In,in progress
2025/05/07,RECEPTION 179,Overhead Plumbing,not started
2025/05/07,RECEPTION 179,Wall Drywall,in progress
2025/05/07,RECEPTION 179,Wall Drywall Finish,not started
2025/05/07,RECEPTION 179,Wall Prime Paint,not started
2025/05/07,RECORDS 130,In Wall Insulation,complete
2025/05/07,RECORDS 130,Overhead Duct Insulation,in progress
2025/05/07,RECORDS 130,Overhead Duct Rough In,in progress
2025/05/07,RECORDS 130,Overhead Plumbing,in progress
2025/05/07,RECORDS 130,Wall Drywall,complete
2025/05/07,RECORDS 130,Wall Drywall Finish,complete
2025/05/07,RECORDS 130,Wall Prime Paint,complete
2025/05/07,RECORDS STORAGE 133,In Wall Insulation,complete
2025/05/07,RECORDS STORAGE 133,Overhead Duct Insulation,in progress
2025/05/07,RECORDS STORAGE 133,Overhead Duct Rough In,in progress
2025/05/07,RECORDS STORAGE 133,Overhead Plumbing,not started
2025/05/07,RECORDS STORAGE 133,Wall Drywall,complete
2025/05/07,RECORDS STORAGE 133,Wall Drywall Finish,complete
2025/05/07,RECORDS STORAGE 133,Wall Prime Paint,complete
2025/05/07,RECORDS SUPERVISOR 131,In Wall Insulation,complete
2025/05/07,RECORDS SUPERVISOR 131,Overhead Duct Insulation,in progress
2025/05/07,RECORDS SUPERVISOR 131,Overhead Duct Rough In,in progress
2025/05/07,RECORDS SUPERVISOR 131,Overhead Plumbing,not started
2025/05/07,RECORDS SUPERVISOR 131,Wall Drywall,complete
2025/05/07,RECORDS SUPERVISOR 131,Wall Drywall Finish,complete
2025/05/07,RECORDS SUPERVISOR 131,Wall Prime Paint,complete
2025/05/07,RECORDS SUPERVISOR 132,In Wall Insulation,complete
2025/05/07,RECORDS SUPERVISOR 132,Overhead Duct Insulation,in progress
2025/05/07,RECORDS SUPERVISOR 132,Overhead Duct Rough In,in progress
2025/05/07,RECORDS SUPERVISOR 132,Overhead Plumbing,not started
2025/05/07,RECORDS SUPERVISOR 132,Wall Drywall,complete
2025/05/07,RECORDS SUPERVISOR 132,Wall Drywall Finish,complete
2025/05/07,RECORDS SUPERVISOR 132,Wall Prime Paint,complete
2025/05/07,RESTROOM 183,In Wall Insulation,in progress
2025/05/07,RESTROOM 183,Overhead Duct Insulation,in progress
2025/05/07,RESTROOM 183,Overhead Duct Rough In,in progress
2025/05/07,RESTROOM 183,Overhead Plumbing,in progress
2025/05/07,RESTROOM 183,Wall Drywall,not started
2025/05/07,RESTROOM 183,Wall Drywall Finish,not started
2025/05/07,RESTROOM 183,Wall Prime Paint,not started
2025/05/07,Risk Management - 158,In Wall Insulation,not started
2025/05/07,Risk Management - 158,Overhead Duct Insulation,not started
2025/05/07,Risk Management - 158,Overhead Duct Rough In,in progress
2025/05/07,Risk Management - 158,Overhead Plumbing,in progress
2025/05/07,Risk Management - 158,Wall Drywall,not started
2025/05/07,Risk Management - 158,Wall Drywall Finish,not started
2025/05/07,Risk Management - 158,Wall Prime Paint,not started
2025/05/07,SALLY PORT 105,In Wall Insulation,not started
2025/05/07,SALLY PORT 105,Overhead Duct Insulation,not started
2025/05/07,SALLY PORT 105,Overhead Duct Rough In,in progress
2025/05/07,SALLY PORT 105,Overhead Plumbing,not started
2025/05/07,SALLY PORT 105,Wall Drywall,not started
2025/05/07,SALLY PORT 105,Wall Drywall Finish,not started
2025/05/07,SALLY PORT 105,Wall Prime Paint,not started
2025/05/07,SANE EXAM ROOM 168,In Wall Insulation,complete
2025/05/07,SANE EXAM ROOM 168,Overhead Duct Insulation,in progress
2025/05/07,SANE EXAM ROOM 168,Overhead Duct Rough In,in progress
2025/05/07,SANE EXAM ROOM 168,Overhead Plumbing,complete
2025/05/07,SANE EXAM ROOM 168,Wall Drywall,complete
2025/05/07,SANE EXAM ROOM 168,Wall Drywall Finish,complete
2025/05/07,SANE EXAM ROOM 168,Wall Prime Paint,complete
2025/05/07,SGT 171,In Wall Insulation,complete
2025/05/07,SGT 171,Overhead Duct Insulation,in progress
2025/05/07,SGT 171,Overhead Duct Rough In,in progress
2025/05/07,SGT 171,Overhead Plumbing,in progress
2025/05/07,SGT 171,Wall Drywall,complete
2025/05/07,SGT 171,Wall Drywall Finish,complete
2025/05/07,SGT 171,Wall Prime Paint,complete
2025/05/07,SGT 172,In Wall Insulation,complete
2025/05/07,SGT 172,Overhead Duct Insulation,complete
2025/05/07,SGT 172,Overhead Duct Rough In,in progress
2025/05/07,SGT 172,Overhead Plumbing,in progress
2025/05/07,SGT 172,Wall Drywall,complete
2025/05/07,SGT 172,Wall Drywall Finish,complete
2025/05/07,SGT 172,Wall Prime Paint,complete
2025/05/07,SHIPPING STORAGE 190,In Wall Insulation,in progress
2025/05/07,SHIPPING STORAGE 190,Overhead Duct Insulation,not started
2025/05/07,SHIPPING STORAGE 190,Overhead Duct Rough In,in progress
2025/05/07,SHIPPING STORAGE 190,Overhead Plumbing,not started
2025/05/07,SHIPPING STORAGE 190,Wall Drywall,in progress
2025/05/07,SHIPPING STORAGE 190,Wall Drywall Finish,not started
2025/05/07,SHIPPING STORAGE 190,Wall Prime Paint,not started
2025/05/07,SHOP FORMAN 184,In Wall Insulation,in progress
2025/05/07,SHOP FORMAN 184,Overhead Duct Insulation,not started
2025/05/07,SHOP FORMAN 184,Overhead Duct Rough In,in progress
2025/05/07,SHOP FORMAN 184,Overhead Plumbing,not started
2025/05/07,SHOP FORMAN 184,Wall Drywall,in progress
2025/05/07,SHOP FORMAN 184,Wall Drywall Finish,not started
2025/05/07,SHOP FORMAN 184,Wall Prime Paint,not started
2025/05/07,SOFT INTERVIEW 161,In Wall Insulation,complete
2025/05/07,SOFT INTERVIEW 161,Overhead Duct Insulation,complete
2025/05/07,SOFT INTERVIEW 161,Overhead Duct Rough In,in progress
2025/05/07,SOFT INTERVIEW 161,Overhead Plumbing,not started
2025/05/07,SOFT INTERVIEW 161,Wall Drywall,complete
2025/05/07,SOFT INTERVIEW 161,Wall Drywall Finish,complete
2025/05/07,SOFT INTERVIEW 161,Wall Prime Paint,complete
2025/05/07,SOFT INTERVIEW 162,In Wall Insulation,complete
2025/05/07,SOFT INTERVIEW 162,Overhead Duct Insulation,in progress
2025/05/07,SOFT INTERVIEW 162,Overhead Duct Rough In,in progress
2025/05/07,SOFT INTERVIEW 162,Overhead Plumbing,not started
2025/05/07,SOFT INTERVIEW 162,Wall Drywall,complete
2025/05/07,SOFT INTERVIEW 162,Wall Drywall Finish,complete
2025/05/07,SOFT INTERVIEW 162,Wall Prime Paint,complete
2025/05/07,SPECIAL OPERATION LT 143,In Wall Insulation,complete
2025/05/07,SPECIAL OPERATION LT 143,Overhead Duct Insulation,in progress
2025/05/07,SPECIAL OPERATION LT 143,Overhead Duct Rough In,in progress
2025/05/07,SPECIAL OPERATION LT 143,Overhead Plumbing,not started
2025/05/07,SPECIAL OPERATION LT 143,Wall Drywall,complete
2025/05/07,SPECIAL OPERATION LT 143,Wall Drywall Finish,complete
2025/05/07,SPECIAL OPERATION LT 143,Wall Prime Paint,complete
2025/05/07,STAIR A,In Wall Insulation,no data
2025/05/07,STAIR A,Overhead Duct Insulation,no data
2025/05/07,STAIR A,Overhead Duct Rough In,no data
2025/05/07,STAIR A,Overhead Plumbing,no data
2025/05/07,STAIR A,Wall Drywall,no data
2025/05/07,STAIR A,Wall Drywall Finish,no data
2025/05/07,STAIR A,Wall Prime Paint,no data
2025/05/07,STORAGE 104,In Wall Insulation,complete
2025/05/07,STORAGE 104,Overhead Duct Insulation,in progress
2025/05/07,STORAGE 104,Overhead Duct Rough In,in progress
2025/05/07,STORAGE 104,Overhead Plumbing,not started
2025/05/07,STORAGE 104,Wall Drywall,in progress
2025/05/07,STORAGE 104,Wall Drywall Finish,in progress
2025/05/07,STORAGE 104,Wall Prime Paint,in progress
2025/05/07,STORAGE 127,In Wall Insulation,complete
2025/05/07,STORAGE 127,Overhead Duct Insulation,in progress
2025/05/07,STORAGE 127,Overhead Duct Rough In,in progress
2025/05/07,STORAGE 127,Overhead Plumbing,not started
2025/05/07,STORAGE 127,Wall Drywall,complete
2025/05/07,STORAGE 127,Wall Drywall Finish,complete
2025/05/07,STORAGE 127,Wall Prime Paint,complete
2025/05/07,STUDIO 126,In Wall Insulation,complete
2025/05/07,STUDIO 126,Overhead Duct Insulation,in progress
2025/05/07,STUDIO 126,Overhead Duct Rough In,in progress
2025/05/07,STUDIO 126,Overhead Plumbing,not started
2025/05/07,STUDIO 126,Wall Drywall,complete
2025/05/07,STUDIO 126,Wall Drywall Finish,complete
2025/05/07,STUDIO 126,Wall Prime Paint,in progress
2025/05/07,SUPERVISOR 129,In Wall Insulation,complete
2025/05/07,SUPERVISOR 129,Overhead Duct Insulation,in progress
2025/05/07,SUPERVISOR 129,Overhead Duct Rough In,in progress
2025/05/07,SUPERVISOR 129,Overhead Plumbing,not started
2025/05/07,SUPERVISOR 129,Wall Drywall,complete
2025/05/07,SUPERVISOR 129,Wall Drywall Finish,complete
2025/05/07,SUPERVISOR 129,Wall Prime Paint,complete
2025/05/07,Storage 164,In Wall Insulation,complete
2025/05/07,Storage 164,Overhead Duct Insulation,in progress
2025/05/07,Storage 164,Overhead Duct Rough In,in progress
2025/05/07,Storage 164,Overhead Plumbing,not started
2025/05/07,Storage 164,Wall Drywall,complete
2025/05/07,Storage 164,Wall Drywall Finish,complete
2025/05/07,Storage 164,Wall Prime Paint,complete
2025/05/07,Storage 177,In Wall Insulation,complete
2025/05/07,Storage 177,Overhead Duct Insulation,in progress
2025/05/07,Storage 177,Overhead Duct Rough In,in progress
2025/05/07,Storage 177,Overhead Plumbing,not started
2025/05/07,Storage 177,Wall Drywall,complete
2025/05/07,Storage 177,Wall Drywall Finish,complete
2025/05/07,Storage 177,Wall Prime Paint,complete
2025/05/07,TECHNICAL SURVEELLANCE 188,In Wall Insulation,in progress
2025/05/07,TECHNICAL SURVEELLANCE 188,Overhead Duct Insulation,not started
2025/05/07,TECHNICAL SURVEELLANCE 188,Overhead Duct Rough In,in progress
2025/05/07,TECHNICAL SURVEELLANCE 188,Overhead Plumbing,not started
2025/05/07,TECHNICAL SURVEELLANCE 188,Wall Drywall,in progress
2025/05/07,TECHNICAL SURVEELLANCE 188,Wall Drywall Finish,not started
2025/05/07,TECHNICAL SURVEELLANCE 188,Wall Prime Paint,not started
2025/05/07,TRAFFIC SERGEANT 141,In Wall Insulation,complete
2025/05/07,TRAFFIC SERGEANT 141,Overhead Duct Insulation,in progress
2025/05/07,TRAFFIC SERGEANT 141,Overhead Duct Rough In,in progress
2025/05/07,TRAFFIC SERGEANT 141,Overhead Plumbing,in progress
2025/05/07,TRAFFIC SERGEANT 141,Wall Drywall,complete
2025/05/07,TRAFFIC SERGEANT 141,Wall Drywall Finish,complete
2025/05/07,TRAFFIC SERGEANT 141,Wall Prime Paint,complete
2025/05/07,TRIAGE/RECEPTION 134,In Wall Insulation,complete
2025/05/07,TRIAGE/RECEPTION 134,Overhead Duct Insulation,in progress
2025/05/07,TRIAGE/RECEPTION 134,Overhead Duct Rough In,in progress
2025/05/07,TRIAGE/RECEPTION 134,Overhead Plumbing,not started
2025/05/07,TRIAGE/RECEPTION 134,Wall Drywall,complete
2025/05/07,TRIAGE/RECEPTION 134,Wall Drywall Finish,complete
2025/05/07,TRIAGE/RECEPTION 134,Wall Prime Paint,in progress
2025/05/07,TST WORKSHOP 187,In Wall Insulation,in progress
2025/05/07,TST WORKSHOP 187,Overhead Duct Insulation,not started
2025/05/07,TST WORKSHOP 187,Overhead Duct Rough In,in progress
2025/05/07,TST WORKSHOP 187,Overhead Plumbing,not started
2025/05/07,TST WORKSHOP 187,Wall Drywall,in progress
2025/05/07,TST WORKSHOP 187,Wall Drywall Finish,not started
2025/05/07,TST WORKSHOP 187,Wall Prime Paint,not started
2025/05/07,UNISEX RESTROOM 169,In Wall Insulation,in progress
2025/05/07,UNISEX RESTROOM 169,Overhead Duct Insulation,in progress
2025/05/07,UNISEX RESTROOM 169,Overhead Duct Rough In,in progress
2025/05/07,UNISEX RESTROOM 169,Overhead Plumbing,in progress
2025/05/07,UNISEX RESTROOM 169,Wall Drywall,in progress
2025/05/07,UNISEX RESTROOM 169,Wall Drywall Finish,not started
2025/05/07,UNISEX RESTROOM 169,Wall Prime Paint,not started
2025/05/07,VEHICLE MAINTENANCE BAYS 186,In Wall Insulation,in progress
2025/05/07,VEHICLE MAINTENANCE BAYS 186,Overhead Duct Insulation,not started
2025/05/07,VEHICLE MAINTENANCE BAYS 186,Overhead Duct Rough In,not started
2025/05/07,VEHICLE MAINTENANCE BAYS 186,Overhead Plumbing,complete
2025/05/07,VEHICLE MAINTENANCE BAYS 186,Wall Drywall,in progress
2025/05/07,VEHICLE MAINTENANCE BAYS 186,Wall Drywall Finish,in progress
2025/05/07,VEHICLE MAINTENANCE BAYS 186,Wall Prime Paint,not started
2025/05/07,VOLUNTEER/LIGHT DUTY 140,In Wall Insulation,complete
2025/05/07,VOLUNTEER/LIGHT DUTY 140,Overhead Duct Insulation,in progress
2025/05/07,VOLUNTEER/LIGHT DUTY 140,Overhead Duct Rough In,in progress
2025/05/07,VOLUNTEER/LIGHT DUTY 140,Overhead Plumbing,in progress
2025/05/07,VOLUNTEER/LIGHT DUTY 140,Wall Drywall,complete
2025/05/07,VOLUNTEER/LIGHT DUTY 140,Wall Drywall Finish,complete
2025/05/07,VOLUNTEER/LIGHT DUTY 140,Wall Prime Paint,complete
2025/05/07,WAITING/LOBBY 100,In Wall Insulation,not started
2025/05/07,WAITING/LOBBY 100,Overhead Duct Insulation,not started
2025/05/07,WAITING/LOBBY 100,Overhead Duct Rough In,not started
2025/05/07,WAITING/LOBBY 100,Overhead Plumbing,not started
2025/05/07,WAITING/LOBBY 100,Wall Drywall,not started
2025/05/07,WAITING/LOBBY 100,Wall Drywall Finish,not started
2025/05/07,WAITING/LOBBY 100,Wall Prime Paint,not started
2025/05/07,WOMENS RESTROOM 113,In Wall Insulation,in progress
2025/05/07,WOMENS RESTROOM 113,Overhead Duct Insulation,in progress
2025/05/07,WOMENS RESTROOM 113,Overhead Duct Rough In,in progress
2025/05/07,WOMENS RESTROOM 113,Overhead Plumbing,in progress
2025/05/07,WOMENS RESTROOM 113,Wall Drywall,in progress
2025/05/07,WOMENS RESTROOM 113,Wall Drywall Finish,in progress
2025/05/07,WOMENS RESTROOM 113,Wall Prime Paint,not started
2025/05/14,ADMIN ASSISTANT 125,In Wall Insulation,no data
2025/05/14,ADMIN ASSISTANT 125,Overhead Duct Insulation,no data
2025/05/14,ADMIN ASSISTANT 125,Overhead Duct Rough In,no data
2025/05/14,ADMIN ASSISTANT 125,Overhead Plumbing,no data
2025/05/14,ADMIN ASSISTANT 125,Wall Drywall,no data
2025/05/14,ADMIN ASSISTANT 125,Wall Drywall Finish,no data
2025/05/14,ADMIN ASSISTANT 125,Wall Prime Paint,no data
2025/05/14,AV ROOM 103,In Wall Insulation,complete
2025/05/14,AV ROOM 103,Overhead Duct Insulation,in progress
2025/05/14,AV ROOM 103,Overhead Duct Rough In,in progress
2025/05/14,AV ROOM 103,Overhead Plumbing,not started
2025/05/14,AV ROOM 103,Wall Drywall,complete
2025/05/14,AV ROOM 103,Wall Drywall Finish,complete
2025/05/14,AV ROOM 103,Wall Prime Paint,in progress
2025/05/14,BREAK ROOM CONFERENCE 182,In Wall Insulation,in progress
2025/05/14,BREAK ROOM CONFERENCE 182,Overhead Duct Insulation,in progress
2025/05/14,BREAK ROOM CONFERENCE 182,Overhead Duct Rough In,in progress
2025/05/14,BREAK ROOM CONFERENCE 182,Overhead Plumbing,in progress
2025/05/14,BREAK ROOM CONFERENCE 182,Wall Drywall,in progress
2025/05/14,BREAK ROOM CONFERENCE 182,Wall Drywall Finish,not started
2025/05/14,BREAK ROOM CONFERENCE 182,Wall Prime Paint,not started
2025/05/14,Background-159,In Wall Insulation,not started
2025/05/14,Background-159,Overhead Duct Insulation,not started
2025/05/14,Background-159,Overhead Duct Rough In,in progress
2025/05/14,Background-159,Overhead Plumbing,not started
2025/05/14,Background-159,Wall Drywall,not started
2025/05/14,Background-159,Wall Drywall Finish,not started
2025/05/14,Background-159,Wall Prime Paint,not started
2025/05/14,CENTRAL BREAKROOM 145,In Wall Insulation,in progress
2025/05/14,CENTRAL BREAKROOM 145,Overhead Duct Insulation,not started
2025/05/14,CENTRAL BREAKROOM 145,Overhead Duct Rough In,in progress
2025/05/14,CENTRAL BREAKROOM 145,Overhead Plumbing,not started
2025/05/14,CENTRAL BREAKROOM 145,Wall Drywall,in progress
2025/05/14,CENTRAL BREAKROOM 145,Wall Drywall Finish,not started
2025/05/14,CENTRAL BREAKROOM 145,Wall Prime Paint,not started
2025/05/14,COLD CASE 175,In Wall Insulation,complete
2025/05/14,COLD CASE 175,Overhead Duct Insulation,in progress
2025/05/14,COLD CASE 175,Overhead Duct Rough In,in progress
2025/05/14,COLD CASE 175,Overhead Plumbing,in progress
2025/05/14,COLD CASE 175,Wall Drywall,complete
2025/05/14,COLD CASE 175,Wall Drywall Finish,complete
2025/05/14,COLD CASE 175,Wall Prime Paint,in progress
2025/05/14,COMMUNITY AFFAIRS 124,In Wall Insulation,complete
2025/05/14,COMMUNITY AFFAIRS 124,Overhead Duct Insulation,in progress
2025/05/14,COMMUNITY AFFAIRS 124,Overhead Duct Rough In,in progress
2025/05/14,COMMUNITY AFFAIRS 124,Overhead Plumbing,not started
2025/05/14,COMMUNITY AFFAIRS 124,Wall Drywall,complete
2025/05/14,COMMUNITY AFFAIRS 124,Wall Drywall Finish,complete
2025/05/14,COMMUNITY AFFAIRS 124,Wall Prime Paint,complete
2025/05/14,COMMUNITY ROOM 247 PPL 102,In Wall Insulation,in progress
2025/05/14,COMMUNITY ROOM 247 PPL 102,Overhead Duct Insulation,in progress
2025/05/14,COMMUNITY ROOM 247 PPL 102,Overhead Duct Rough In,in progress
2025/05/14,COMMUNITY ROOM 247 PPL 102,Overhead Plumbing,not started
2025/05/14,COMMUNITY ROOM 247 PPL 102,Wall Drywall,in progress
2025/05/14,COMMUNITY ROOM 247 PPL 102,Wall Drywall Finish,not started
2025/05/14,COMMUNITY ROOM 247 PPL 102,Wall Prime Paint,not started
2025/05/14,CONFERENCE ROOM 153,In Wall Insulation,in progress
2025/05/14,CONFERENCE ROOM 153,Overhead Duct Insulation,in progress
2025/05/14,CONFERENCE ROOM 153,Overhead Duct Rough In,in progress
2025/05/14,CONFERENCE ROOM 153,Overhead Plumbing,not started
2025/05/14,CONFERENCE ROOM 153,Wall Drywall,in progress
2025/05/14,CONFERENCE ROOM 153,Wall Drywall Finish,not started
2025/05/14,CONFERENCE ROOM 153,Wall Prime Paint,not started
2025/05/14,CONFERENCE/WAR ROOM 163,In Wall Insulation,complete
2025/05/14,CONFERENCE/WAR ROOM 163,Overhead Duct Insulation,in progress
2025/05/14,CONFERENCE/WAR ROOM 163,Overhead Duct Rough In,in progress
2025/05/14,CONFERENCE/WAR ROOM 163,Overhead Plumbing,not started
2025/05/14,CONFERENCE/WAR ROOM 163,Wall Drywall,complete
2025/05/14,CONFERENCE/WAR ROOM 163,Wall Drywall Finish,complete
2025/05/14,CONFERENCE/WAR ROOM 163,Wall Prime Paint,complete
2025/05/14,COPY 176,In Wall Insulation,complete
2025/05/14,COPY 176,Overhead Duct Insulation,in progress
2025/05/14,COPY 176,Overhead Duct Rough In,in progress
2025/05/14,COPY 176,Overhead Plumbing,not started
2025/05/14,COPY 176,Wall Drywall,complete
2025/05/14,COPY 176,Wall Drywall Finish,complete
2025/05/14,COPY 176,Wall Prime Paint,complete
2025/05/14,COPY/MAIL ROOM 114,In Wall Insulation,complete
2025/05/14,COPY/MAIL ROOM 114,Overhead Duct Insulation,in progress
2025/05/14,COPY/MAIL ROOM 114,Overhead Duct Rough In,in progress
2025/05/14,COPY/MAIL ROOM 114,Overhead Plumbing,in progress
2025/05/14,COPY/MAIL ROOM 114,Wall Drywall,complete
2025/05/14,COPY/MAIL ROOM 114,Wall Drywall Finish,complete
2025/05/14,COPY/MAIL ROOM 114,Wall Prime Paint,complete
2025/05/14,CORRIDOR 107,In Wall Insulation,complete
2025/05/14,CORRIDOR 107,Overhead Duct Insulation,in progress
2025/05/14,CORRIDOR 107,Overhead Duct Rough In,in progress
2025/05/14,CORRIDOR 107,Overhead Plumbing,in progress
2025/05/14,CORRIDOR 107,Wall Drywall,complete
2025/05/14,CORRIDOR 107,Wall Drywall Finish,complete
2025/05/14,CORRIDOR 107,Wall Prime Paint,in progress
2025/05/14,CORRIDOR 108,In Wall Insulation,complete
2025/05/14,CORRIDOR 108,In Wall Insulation,complete
2025/05/14,CORRIDOR 108,Overhead Duct Insulation,in progress
